#"+ Scan (rt: 5.965-6.632 min, 25 scans) MDM2C Crude More.d  Subtract Deconvoluted (Isotope Width=1.0)"
#Point,X(Daltons),Y(Counts)
110,2055.00,1.20136141777039
111,2055.50,1.06133794784546
112,2056.00,2.46538734436035
113,2056.50,4.55135536193848
114,2057.00,3.10726976394653
115,2057.50,1.59225225448608
116,2058.00,0.57766854763031
117,2058.50,0.135557889938354
118,2059.00,0.124621488153934
119,2059.50,0.357857704162598
120,2060.00,0.29086834192276
121,2060.50,0.0969223007559776
122,2061.00,0.0804919973015785
123,2061.50,0.10711295902729
124,2062.00,0.105189725756645
125,2062.50,0.0909151211380959
126,2063.00,0.0645574256777763
127,2063.50,0.0429603308439255
128,2064.00,0.0289174951612949
129,2064.50,0.0192640777677298
130,2065.00,0.0349748432636261
131,2065.50,0.0735838785767555
132,2066.00,0.0350328870117664
133,2066.50,0.0110915144905448
134,2067.00,0.00981736462563276
135,2067.50,0.0305559188127518
136,2068.00,0.143782898783684
137,2068.50,0.193670600652695
138,2069.00,0.0505424961447716
139,2069.50,0.0100578619167209
140,2070.00,0.00742763979360461
141,2070.50,0.0187403410673141
142,2071.00,0.0608679167926311
143,2071.50,0.129616469144821
144,2072.00,0.158479511737823
145,2072.50,0.144208148121834
146,2073.00,0.133236527442932
147,2073.50,0.189728945493698
148,2074.00,0.261751502752304
149,2074.50,0.223503857851028
150,2075.00,0.196510046720505
151,2075.50,0.340673118829727
152,2076.00,0.747177422046661
153,2076.50,1.37571740150452
154,2077.00,1.92252480983734
155,2077.50,1.41955423355103
156,2078.00,0.374835431575775
157,2078.50,0.0998839810490608
158,2079.00,0.155863136053085
159,2079.50,0.591434597969055
160,2080.00,1.50615096092224
161,2080.50,1.89818572998047
162,2081.00,1.60010647773743
163,2081.50,1.17155432701111
164,2082.00,0.64165872335434
165,2082.50,0.38223671913147
166,2083.00,0.344279706478119
167,2083.50,0.276684701442719
168,2084.00,0.183231592178345
169,2084.50,0.177061662077904
170,2085.00,0.477969765663147
171,2085.50,1.53135275840759
172,2086.00,2.00283098220825
173,2086.50,1.62930142879486
174,2087.00,1.00918853282928
175,2087.50,1.16559028625488
176,2088.00,2.79253888130188
177,2088.50,1.94730472564697
178,2089.00,0.373061448335648
179,2089.50,0.142047300934792
180,2090.00,0.144910648465157
181,2090.50,0.145491823554039
182,2091.00,0.237209618091583
183,2091.50,0.67149555683136
184,2092.00,0.701988697052002
185,2092.50,0.231368020176888
186,2093.00,0.11762723326683
187,2093.50,0.0963673368096352
188,2094.00,0.0472233220934868
189,2094.50,0.0229637566953897
190,2095.00,0.0240176785737276
191,2095.50,0.0449701733887196
192,2096.00,0.0581562109291553
193,2096.50,0.0368425473570824
194,2097.00,0.0132022881880403
195,2097.50,0.00510171754285693
196,2098.00,0.0050718323327601
197,2098.50,0.00677409302443266
198,2099.00,0.00634895591065288
199,2099.50,0.0051646763458848
200,2100.00,0.00292730238288641
201,2100.50,0.00115558237303048
202,2101.00,0.0011273060226813
203,2101.50,0.00465345336124301
204,2102.00,0.0193329118192196
205,2102.50,0.0227078832685947
206,2103.00,0.0129188476130366
207,2103.50,0.00884435791522264
208,2104.00,0.00625699386000633
209,2104.50,0.00592552637681365
210,2105.00,0.00866992864757776
211,2105.50,0.0082699665799737
212,2106.00,0.00414230721071362
213,2106.50,0.00142421608325094
214,2107.00,0.000562314584385604
215,2107.50,0.000481976690934971
216,2108.00,0.000931691902223974
217,2108.50,0.00259677646681666
218,2109.00,0.00492344237864017
219,2109.50,0.00543163251131773
220,2110.00,0.0036965268664062
221,2110.50,0.00218107760883868
222,2111.00,0.00239641102962196
223,2111.50,0.00300462194718421
224,2112.00,0.00242149410769343
225,2112.50,0.00260715559124947
226,2113.00,0.00492984056472778
227,2113.50,0.00668336916714907
228,2114.00,0.00460232980549335
229,2114.50,0.00185369502287358
230,2115.00,0.00057652685791254
231,2115.50,0.000319905637297779
232,2116.00,0.000282209191937
233,2116.50,0.000217984037590213
234,2117.00,0.000161438409122638
235,2117.50,6.40332000330091E-05
236,2118.00,1.97770677914377E-05
237,2118.50,3.18203456117772E-05
238,2119.00,7.64550641179085E-05
239,2119.50,4.71582061436493E-05
240,2120.00,2.3229447833728E-05
241,2120.50,4.42276832472999E-05
242,2121.00,0.000166085781529546
243,2121.50,0.000315919780405238
244,2122.00,0.000641786376945674
245,2122.50,0.00126052286941558
246,2123.00,0.000635600124951452
247,2123.50,0.000238415173953399
248,2124.00,0.000137208131491207
249,2124.50,0.000124429279821925
250,2125.00,0.00108945136889815
251,2125.50,0.00480455858632922
252,2126.00,0.000393146183341742
253,2126.50,1.18426087283297E-05
254,2127.00,1.6811794921523E-05
255,2127.50,9.0119217929896E-05
256,2128.00,0.000139173644129187
257,2128.50,7.14417255949229E-05
258,2129.00,2.18782406591345E-05
259,2129.50,4.55493318440858E-06
260,2130.00,7.92679315964051E-07
261,2130.50,2.4654806907165E-07
262,2131.00,1.64502864663518E-07
263,2131.50,2.14023799571805E-07
264,2132.00,3.43541472602737E-07
265,2132.50,2.36588761026724E-07
266,2133.00,5.15640401488326E-08
267,2133.50,1.89569266950684E-08
268,2134.00,3.36411787316138E-08
269,2134.50,6.03385359454478E-08
270,2135.00,7.91628380625298E-08
271,2135.50,1.13383698874259E-07
272,2136.00,3.2232622970696E-07
273,2136.50,7.27473718598048E-07
274,2137.00,3.07771159668846E-07
275,2137.50,1.27504193869754E-07
276,2138.00,1.44251515621363E-07
277,2138.50,1.62160077366025E-07
278,2139.00,2.13406508464686E-07
279,2139.50,3.21010958259649E-07
280,2140.00,5.55231906673725E-07
281,2140.50,1.52134828113049E-06
282,2141.00,3.77821152142133E-06
283,2141.50,3.03236856780131E-06
284,2142.00,8.45166368890204E-07
285,2142.50,3.23002609547984E-07
286,2143.00,7.48773345549125E-07
287,2143.50,1.4995349374658E-05
288,2144.00,4.67812678834889E-05
289,2144.50,5.43166379429749E-06
290,2145.00,7.59693284635432E-06
291,2145.50,6.05618188274093E-05
292,2146.00,3.67631910194177E-05
293,2146.50,1.63849654200021E-05
294,2147.00,8.04438514023786E-06
295,2147.50,3.54248390976863E-06
296,2148.00,2.28485464504047E-06
297,2148.50,7.51586526348547E-07
298,2149.00,4.7060015617717E-07
299,2149.50,8.11918710041937E-07
300,2150.00,7.49684033962694E-07
301,2150.50,1.61062956749447E-07
302,2151.00,1.67980882537222E-08
303,2151.50,1.18913883184746E-08
304,2152.00,3.78190598837591E-08
305,2152.50,5.5853490721347E-08
306,2153.00,1.09889860766543E-07
307,2153.50,3.9693122744211E-07
308,2154.00,4.89430135530711E-07
309,2154.50,3.68910832548863E-07
310,2155.00,2.86154858031296E-07
311,2155.50,6.92164192628297E-08
312,2156.00,2.64399666605186E-08
313,2156.50,7.66091616810627E-08
314,2157.00,1.89287746366062E-07
315,2157.50,2.09601736855802E-07
316,2158.00,1.89051689858388E-07
317,2158.50,1.18498569179337E-07
318,2159.00,3.11287067233934E-08
319,2159.50,5.04183184091289E-09
320,2160.00,2.49609244384885E-09
321,2160.50,5.30159249834128E-09
322,2161.00,1.83307964363166E-08
323,2161.50,3.37679288975323E-08
324,2162.00,6.00973066866572E-08
325,2162.50,1.80711737129968E-07
326,2163.00,2.84361277635981E-07
327,2163.50,4.5858669750487E-07
328,2164.00,4.79294499200478E-07
329,2164.50,8.7568444939734E-08
330,2165.00,1.7354325976271E-08
331,2165.50,1.29842794294177E-08
332,2166.00,3.06150553797124E-08
333,2166.50,2.03959913847029E-07
334,2167.00,6.08839059168531E-07
335,2167.50,3.47389089938588E-07
336,2168.00,6.12821651202466E-08
337,2168.50,1.03269162110564E-08
338,2169.00,1.06145900957699E-08
339,2169.50,3.89942869105653E-08
340,2170.00,1.80037986297066E-07
341,2170.50,6.75481317102822E-07
342,2171.00,8.74246325111017E-07
343,2171.50,1.10674727693549E-06
344,2172.00,3.05738853967341E-06
345,2172.50,6.3616953411838E-06
346,2173.00,6.20470018475316E-06
347,2173.50,2.6846198579733E-06
348,2174.00,9.61209138949926E-07
349,2174.50,6.10688459801167E-07
350,2175.00,6.73108559112734E-07
351,2175.50,2.18131913243269E-06
352,2176.00,8.56095812196145E-06
353,2176.50,1.02064686871017E-05
354,2177.00,9.63381353358272E-06
355,2177.50,2.15998970816145E-05
356,2178.00,6.22742736595683E-05
357,2178.50,0.000132158253109083
358,2179.00,0.000232203252380714
359,2179.50,0.000299093022476882
360,2180.00,0.000110832639620639
361,2180.50,1.97276895050891E-05
362,2181.00,1.32480263346224E-05
363,2181.50,1.62562755576801E-05
364,2182.00,5.88527336731204E-06
365,2182.50,9.00718760021846E-07
366,2183.00,3.87900229270599E-07
367,2183.50,1.04990590443776E-06
368,2184.00,6.84583483234746E-06
369,2184.50,3.75390591216274E-05
370,2185.00,4.9009522626875E-05
371,2185.50,7.63266416470287E-06
372,2186.00,8.83255609096523E-07
373,2186.50,1.38223913381808E-06
374,2187.00,9.05327669897815E-06
375,2187.50,1.89008205779828E-05
376,2188.00,2.93860302917892E-05
377,2188.50,4.82055402244441E-05
378,2189.00,1.18086918519111E-05
379,2189.50,3.40393444275833E-06
380,2190.00,1.13193655124633E-05
381,2190.50,4.44107427028939E-05
382,2191.00,8.55705075082369E-05
383,2191.50,7.63577481848188E-05
384,2192.00,4.96223765367176E-05
385,2192.50,6.51223017484881E-05
386,2193.00,0.000100845310953446
387,2193.50,8.27808544272557E-05
388,2194.00,3.35396907757968E-05
389,2194.50,7.44511680750293E-06
390,2195.00,3.34572450810811E-06
391,2195.50,9.22463095776038E-06
392,2196.00,0.000100662400654983
393,2196.50,0.000986916245892644
394,2197.00,0.00147422472946346
395,2197.50,0.000340107450028881
396,2198.00,7.85347874625586E-05
397,2198.50,8.75809419085272E-05
398,2199.00,0.000125154459965415
399,2199.50,6.75005139783025E-05
400,2200.00,3.97537914977875E-05
401,2200.50,3.67360917152837E-05
402,2201.00,2.30783280130709E-05
403,2201.50,1.89230904652504E-05
404,2202.00,0.00025743679725565
405,2202.50,0.0051041841506958
406,2203.00,0.00964691303670406
407,2203.50,0.0250281877815723
408,2204.00,0.0637593641877174
409,2204.50,0.00883096270263195
410,2205.00,0.0011500061955303
411,2205.50,0.000915708602406085
412,2206.00,0.000514568062499166
413,2206.50,0.000542611523997039
414,2207.00,0.000867805327288806
415,2207.50,0.00142032199073583
416,2208.00,0.00139996851794422
417,2208.50,0.000301403721095994
418,2209.00,4.63615506305359E-05
419,2209.50,1.03647880678182E-05
420,2210.00,7.79779202275677E-06
421,2210.50,5.56025515834335E-05
422,2211.00,0.000273247627774253
423,2211.50,0.00016850876272656
424,2212.00,2.74224821623648E-05
425,2212.50,1.44341520353919E-05
426,2213.00,0.000330799957737327
427,2213.50,0.00504932319745421
428,2214.00,0.00317506003193557
429,2214.50,0.00091462186537683
430,2215.00,0.000692474364768714
431,2215.50,0.000672098656650633
432,2216.00,0.000456058798590675
433,2216.50,0.00019672149210237
434,2217.00,0.000141216194606386
435,2217.50,0.000115312686830293
436,2218.00,4.83260264445562E-05
437,2218.50,1.65968012879603E-05
438,2219.00,1.86994984687772E-05
439,2219.50,5.89370720263105E-05
440,2220.00,4.23901401518378E-05
441,2220.50,8.79790241015144E-06
442,2221.00,1.17960180432419E-05
443,2221.50,3.00320079986705E-05
444,2222.00,2.929237234639E-05
445,2222.50,6.35265751043335E-05
446,2223.00,9.84966318355873E-05
447,2223.50,4.66004930785857E-05
448,2224.00,6.60830191918649E-05
449,2224.50,0.000176078116055578
450,2225.00,0.000162329422892071
451,2225.50,6.26690889475867E-05
452,2226.00,3.22423438774422E-05
453,2226.50,5.75611848034896E-05
454,2227.00,0.000174155604327098
455,2227.50,0.000665659492369741
456,2228.00,0.00339443166740239
457,2228.50,0.00526904361322522
458,2229.00,0.00119215960148722
459,2229.50,0.000286026101093739
460,2230.00,0.000414058013120666
461,2230.50,0.00098169909324497
462,2231.00,0.00152885681018233
463,2231.50,0.00177346833515912
464,2232.00,0.000874404388014227
465,2232.50,0.000181829236680642
466,2233.00,4.01813158532605E-05
467,2233.50,1.79478865902638E-05
468,2234.00,2.9334607461351E-05
469,2234.50,6.33838353678584E-05
470,2235.00,5.43478345207404E-05
471,2235.50,5.17375228810124E-05
472,2236.00,9.77734525804408E-05
473,2236.50,0.000177446869201958
474,2237.00,0.000380968063836917
475,2237.50,0.00119412189815193
476,2238.00,0.00233701290562749
477,2238.50,0.00237885024398565
478,2239.00,0.00206025503575802
479,2239.50,0.00213171145878732
480,2240.00,0.002095214324072
481,2240.50,0.00113050232175738
482,2241.00,0.000678147480357438
483,2241.50,0.000537941639777273
484,2242.00,0.000280565349385142
485,2242.50,0.000174727407284081
486,2243.00,0.00014331191778183
487,2243.50,0.000174118569702841
488,2244.00,0.000344428088283166
489,2244.50,0.000386103172786534
490,2245.00,0.000306709785945714
491,2245.50,0.000238872846239246
492,2246.00,0.000199123154743575
493,2246.50,0.00027053605299443
494,2247.00,0.000272941018920392
495,2247.50,0.000210461352253333
496,2248.00,0.00025999135687016
497,2248.50,0.000420120544731617
498,2249.00,0.0013075569877401
499,2249.50,0.00344753521494567
500,2250.00,0.00217580096796155
501,2250.50,0.00305804377421737
502,2251.00,0.0202488731592894
503,2251.50,0.043528139591217
504,2252.00,0.0259249489754438
505,2252.50,0.0126177500933409
506,2253.00,0.00520267896354198
507,2253.50,0.00337943946942687
508,2254.00,0.011124849319458
509,2254.50,0.019503315910697
510,2255.00,0.00576284062117338
511,2255.50,0.00788535922765732
512,2256.00,0.029178224503994
513,2256.50,0.0214058831334114
514,2257.00,0.0105571169406176
515,2257.50,0.00829980242997408
516,2258.00,0.00477581471204758
517,2258.50,0.00312184961512685
518,2259.00,0.00384446978569031
519,2259.50,0.0071248454041779
520,2260.00,0.0101738683879375
521,2260.50,0.013307242654264
522,2261.00,0.159798726439476
523,2261.50,1.63516235351563
524,2262.00,1.16798734664917
525,2262.50,0.535250067710876
526,2263.00,0.326237440109253
527,2263.50,0.129508897662163
528,2264.00,0.0539694167673588
529,2264.50,0.00883048865944147
530,2265.00,0.00177062256261706
531,2265.50,0.00179308094084263
532,2266.00,0.00157083687372506
533,2266.50,0.00158310902770609
534,2267.00,0.00398570997640491
535,2267.50,0.00870678853243589
536,2268.00,0.00438762363046408
537,2268.50,0.000850085518322885
538,2269.00,0.00033998501021415
539,2269.50,0.000252853031270206
540,2270.00,0.000308666349155828
541,2270.50,0.000428690080298111
542,2271.00,0.000531576806679368
543,2271.50,0.00108063640072942
544,2272.00,0.00204616994597018
545,2272.50,0.0016855753492564
546,2273.00,0.000890169234480709
547,2273.50,0.000599426450207829
548,2274.00,0.000439617288066074
549,2274.50,0.000630806956905872
550,2275.00,0.00192262383643538
551,2275.50,0.00292162410914898
552,2276.00,0.00351416505873203
553,2276.50,0.00500265136361122
554,2277.00,0.00375958788208663
555,2277.50,0.00305356201715767
556,2278.00,0.00464233243837953
557,2278.50,0.00474486965686083
558,2279.00,0.00257050129584968
559,2279.50,0.00164781964849681
560,2280.00,0.00166376773267984
561,2280.50,0.00411908002570271
562,2281.00,0.0196103323251009
563,2281.50,0.0449125021696091
564,2282.00,0.0538440085947514
565,2282.50,0.0612677112221718
566,2283.00,0.0377139449119568
567,2283.50,0.0157475266605616
568,2284.00,0.0105427363887429
569,2284.50,0.0141534628346562
570,2285.00,0.0322159305214882
571,2285.50,0.0627325251698494
572,2286.00,0.061519131064415
573,2286.50,0.0269043892621994
574,2287.00,0.00795822404325008
575,2287.50,0.0062239496037364
576,2288.00,0.0229389723390341
577,2288.50,0.0693206936120987
578,2289.00,0.0440928786993027
579,2289.50,0.0160962622612715
580,2290.00,0.0200421717017889
581,2290.50,0.0677253007888794
582,2291.00,0.143792226910591
583,2291.50,0.078267514705658
584,2292.00,0.0145511804148555
585,2292.50,0.00429676519706845
586,2293.00,0.00408798921853304
587,2293.50,0.00579987606033683
588,2294.00,0.00858868844807148
589,2294.50,0.0123429773375392
590,2295.00,0.00838069058954716
591,2295.50,0.00240297149866819
592,2296.00,0.000621960731223226
593,2296.50,0.000227930329856463
594,2297.00,0.000238278153119609
595,2297.50,0.000651389069389552
596,2298.00,0.00127840624190867
597,2298.50,0.00139730609953403
598,2299.00,0.00178841745946556
599,2299.50,0.00342071149498224
600,2300.00,0.00510608544573188
601,2300.50,0.00794731825590134
602,2301.00,0.0718687400221825
603,2301.50,0.494627773761749
604,2302.00,0.254702568054199
605,2302.50,0.0616702884435654
606,2303.00,0.0769935101270676
607,2303.50,0.114654950797558
608,2304.00,0.036053042858839
609,2304.50,0.007948555983603
610,2305.00,0.00853636302053928
611,2305.50,0.0189091712236404
612,2306.00,0.0330664105713367
613,2306.50,0.0385969690978527
614,2307.00,0.0261007715016603
615,2307.50,0.0186175834387541
616,2308.00,0.0176870636641979
617,2308.50,0.0170181710273027
618,2309.00,0.028269324451685
619,2309.50,0.0831168293952942
620,2310.00,0.142985761165619
621,2310.50,0.104309566318989
622,2311.00,0.0756267830729485
623,2311.50,0.059452012181282
624,2312.00,0.0331656411290169
625,2312.50,0.0456564351916313
626,2313.00,0.137235909700394
627,2313.50,0.142689153552055
628,2314.00,0.111110128462315
629,2314.50,0.1705002784729
630,2315.00,0.162765190005302
631,2315.50,0.0889163613319397
632,2316.00,0.13983528316021
633,2316.50,0.231632515788078
634,2317.00,0.103706188499928
635,2317.50,0.0432550497353077
636,2318.00,0.0354807302355766
637,2318.50,0.0419321656227112
638,2319.00,0.0393277257680893
639,2319.50,0.0264680068939924
640,2320.00,0.0245655532926321
641,2320.50,0.0388670563697815
642,2321.00,0.300616443157196
643,2321.50,1.92258489131927
644,2322.00,0.768827438354492
645,2322.50,0.178840979933739
646,2323.00,0.106030181050301
647,2323.50,0.0164631213992834
648,2324.00,0.00226600491441786
649,2324.50,0.00239886832423508
650,2325.00,0.00886276084929705
651,2325.50,0.0478558205068111
652,2326.00,0.0896127820014954
653,2326.50,0.0317789986729622
654,2327.00,0.0102175027132034
655,2327.50,0.00837013591080904
656,2328.00,0.0109673468396068
657,2328.50,0.0448641628026962
658,2329.00,0.303593814373016
659,2329.50,0.482855021953583
660,2330.00,0.267260879278183
661,2330.50,0.205518901348114
662,2331.00,0.21963869035244
663,2331.50,0.30415415763855
664,2332.00,0.643986523151398
665,2332.50,0.704382300376892
666,2333.00,0.294597983360291
667,2333.50,0.164874479174614
668,2334.00,0.103096134960651
669,2334.50,0.0521591939032078
670,2335.00,0.0929231271147728
671,2335.50,0.396189451217651
672,2336.00,0.600157976150513
673,2336.50,0.227739274501801
674,2337.00,0.050562895834446
675,2337.50,0.0151287727057934
676,2338.00,0.0122915906831622
677,2338.50,0.0264425426721573
678,2339.00,0.0611822158098221
679,2339.50,0.087051160633564
680,2340.00,0.0759302601218224
681,2340.50,0.066519483923912
682,2341.00,0.0641484037041664
683,2341.50,0.0321883372962475
684,2342.00,0.0166137591004372
685,2342.50,0.0440494790673256
686,2343.00,0.181971594691277
687,2343.50,0.313581079244614
688,2344.00,0.228384017944336
689,2344.50,0.0895801931619644
690,2345.00,0.0491473525762558
691,2345.50,0.0473338328301907
692,2346.00,0.0595321804285049
693,2346.50,0.114835925400257
694,2347.00,0.0997657179832458
695,2347.50,0.0306900348514318
696,2348.00,0.0220224242657423
697,2348.50,0.0321246050298214
698,2349.00,0.0326538681983948
699,2349.50,0.0240263342857361
700,2350.00,0.0125390775501728
701,2350.50,0.00615267315879464
702,2351.00,0.00379693624563515
703,2351.50,0.00265351566486061
704,2352.00,0.00274783349595964
705,2352.50,0.00581241585314274
706,2353.00,0.0135243600234389
707,2353.50,0.0251849256455898
708,2354.00,0.0384689830243587
709,2354.50,0.0278143305331469
710,2355.00,0.011862825602293
711,2355.50,0.00648080743849277
712,2356.00,0.00412971060723066
713,2356.50,0.00168945663608611
714,2357.00,0.000538828724529594
715,2357.50,0.000459480477729812
716,2358.00,0.00089684478007257
717,2358.50,0.00189746997784823
718,2359.00,0.00464678695425391
719,2359.50,0.00671099172905087
720,2360.00,0.00457191513851285
721,2360.50,0.00355092529207468
722,2361.00,0.00505690323188901
723,2361.50,0.00706793833523989
724,2362.00,0.00521850073710084
725,2362.50,0.0021234501618892
726,2363.00,0.000533978280145675
727,2363.50,0.000180399933014996
728,2364.00,7.99549234216101E-05
729,2364.50,6.62116290186532E-05
730,2365.00,0.000741389463655651
731,2365.50,0.0148684261366725
732,2366.00,0.0781421214342117
