#Point,X(Thomsons),Y(Counts)
0,649.94169,115.6080704
1,693.24501,205.822403
2,866.21728,2130.853271
3,944.86819,2907.212646
4,1039.3924,1865.324829
5,1154.75565,896.6004028
6,1298.95625,625.6759033
7,1484.41246,523.6049805
