#"+ Scan (rt: 4.163-4.411 min, 16 scans) MDM2C F86.d  Deconvoluted (Isotope Width=1.0)"
#Point,X(Daltons),Y(Counts)
314,2157.00,1.94939779873948E-08
315,2157.50,2.72896318875837E-08
316,2158.00,1.05273393558036E-07
317,2158.50,4.77219543881802E-07
318,2159.00,1.08328333681129E-06
319,2159.50,8.55699227031437E-07
320,2160.00,1.83253561658603E-07
321,2160.50,2.55623806566518E-08
322,2161.00,6.29414831365693E-09
323,2161.50,2.56551913047076E-09
324,2162.00,3.38226957552479E-09
325,2162.50,1.52961021626652E-08
326,2163.00,4.50439436860961E-08
327,2163.50,4.85161812946444E-08
328,2164.00,2.53514329529025E-08
329,2164.50,1.16234275537863E-08
330,2165.00,9.84184289620771E-09
331,2165.50,1.48702570257342E-08
332,2166.00,3.23824060899369E-08
333,2166.50,6.41991135807984E-08
334,2167.00,6.01864726945678E-08
335,2167.50,3.19295736517233E-08
336,2168.00,2.28430483417696E-08
337,2168.50,3.7102953598378E-08
338,2169.00,1.18015208272482E-07
339,2169.50,3.88838401477187E-07
340,2170.00,6.48771333544573E-07
341,2170.50,8.32088289826061E-07
342,2171.00,1.33154753712006E-06
343,2171.50,1.85899693860847E-06
344,2172.00,2.96838356916851E-06
345,2172.50,5.97207144892309E-06
346,2173.00,7.61261480874964E-06
347,2173.50,4.84474367112853E-06
348,2174.00,2.9922980502306E-06
349,2174.50,3.27019847645715E-06
350,2175.00,5.81575977776083E-06
351,2175.50,1.61257030413253E-05
352,2176.00,3.33257812599186E-05
353,2176.50,2.50726370722987E-05
354,2177.00,8.55837970448192E-06
355,2177.50,2.25671078624146E-06
356,2178.00,1.33907747112971E-06
357,2178.50,2.83318058791338E-06
358,2179.00,6.3906022660376E-06
359,2179.50,1.92070328921545E-05
360,2180.00,0.00025697669479996
361,2180.50,0.0043555349111557
362,2181.00,0.0119580933824182
363,2181.50,0.00337672396562994
364,2182.00,0.000316371500957757
365,2182.50,5.16415857418906E-05
366,2183.00,5.52314158994704E-05
367,2183.50,0.000409865053370595
368,2184.00,0.00319193303585052
369,2184.50,0.0054359957575798
370,2185.00,0.00215222709812224
371,2185.50,0.000586379901506007
372,2186.00,0.000273204204859212
373,2186.50,0.0001902165095089
374,2187.00,0.000154193839989603
375,2187.50,0.00012159959442215
376,2188.00,4.45509467681404E-05
377,2188.50,6.28644465905381E-06
378,2189.00,8.88449051217322E-07
379,2189.50,4.7592726559742E-07
380,2190.00,1.38900963975175E-06
381,2190.50,7.35818230168661E-06
382,2191.00,1.52294478539261E-05
383,2191.50,1.18362868306576E-05
384,2192.00,1.04981590993702E-05
385,2192.50,1.66241588885896E-05
386,2193.00,2.7585037969402E-05
387,2193.50,3.42952043865807E-05
388,2194.00,3.65821651939768E-05
389,2194.50,3.70950328942854E-05
390,2195.00,3.70122688764241E-05
391,2195.50,3.7693989725085E-05
392,2196.00,4.32807682955172E-05
393,2196.50,5.66811504540965E-05
394,2197.00,5.52794299437664E-05
395,2197.50,3.04058121400885E-05
396,2198.00,1.59645696840016E-05
397,2198.50,1.69446393556427E-05
398,2199.00,5.50760596524924E-05
399,2199.50,0.000258099316852167
400,2200.00,0.000612705538515002
401,2200.50,0.00063968711765483
402,2201.00,0.000329114642227069
403,2201.50,0.000145270329085179
404,2202.00,0.00013562866661232
405,2202.50,0.000304094282910228
406,2203.00,0.000805744959507138
407,2203.50,0.00140192219987512
408,2204.00,0.00157625204883516
409,2204.50,0.00109129620250314
410,2205.00,0.000598376733250916
